Waktu;Harga
01-10-17;4382.086898
02-10-17;4386.875715
03-10-17;4306.564642
04-10-17;4216.684821
05-10-17;4319.420916
06-10-17;4365.91571
07-10-17;4438.855933
08-10-17;4600.739797
09-10-17;4777.534657
10-10-17;4741.077915
11-10-17;4814.967118
12-10-17;5393.668983
13-10-17;5614.077515
14-10-17;5785.738315
15-10-17;5689.86506
16-10-17;5756.148812
17-10-17;5590.416324
18-10-17;5583.870426
19-10-17;5708.312991
20-10-17;6000.88313
21-10-17;6030.207893
22-10-17;5996.598139
23-10-17;5888.250017
24-10-17;5517.775353
25-10-17;5736.017802
26-10-17;5900.317729
27-10-17;5771.945046
28-10-17;5762.388577
29-10-17;6174.728845
30-10-17;6119.256384
31-10-17;6428.514637
01-11-17;6726.411835
02-11-17;7043.777939
03-11-17;7198.632111
04-11-17;7420.498079
05-11-17;7371.13903
06-11-17;6985.263844
07-11-17;7118.202544
08-11-17;7451.212787
09-11-17;7117.73805
10-11-17;6620.567336
11-11-17;6346.721449
12-11-17;5829.097828
13-11-17;6519.445172
14-11-17;6592.374397
15-11-17;7257.373212
16-11-17;7833.704433
17-11-17;7729.03327
18-11-17;7796.154241
19-11-17;8018.320688
20-11-17;8269.874257
21-11-17;8091.998084
22-11-17;8249.59733
23-11-17;8071.669821
24-11-17;8232.422333
25-11-17;8760.165442
26-11-17;9319.903315
27-11-17;9730.728579
28-11-17;9932.19418
29-11-17;9800.027552
30-11-17;9996.714972
01-12-17;10808.95833
02-12-17;10934.85999
03-12-17;11213.94266
04-12-17;11562.12857
05-12-17;11736.75407
06-12-17;13992.13234
07-12-17;17032.29338
08-12-17;16298.48734
09-12-17;15050.02195
10-12-17;15474.99954
11-12-17;16873.49778
12-12-17;17433.93074
13-12-17;16515.15257
14-12-17;16602.8928
15-12-17;17702.00217
16-12-17;19640.51388
17-12-17;19250.46765
18-12-17;18982.02502
19-12-17;17653.32609
20-12-17;16453.62726
21-12-17;15633.83365
22-12-17;14305.71834
23-12-17;14910.8581
24-12-17;14026.34687
25-12-17;14080.94226
26-12-17;15727.14548
27-12-17;15389.00057
28-12-17;14289.45221
29-12-17;14571.74608
30-12-17;12948.71588
31-12-17;13921.48064
